n,m,Service_shape,"MSE, Service Rate",CovProb,Width,Asymptotic variance,Average CPU Time,theta_opt
500,500,1.0,[0.00018116],[0.99],0.06443439724854003,0.00027565192635743257,8.788004842758191,1.2
500,500,0.8,[0.00074039],[0.842],0.07714280756306434,0.00039598837232202407,8.736653339147557,[1.45235469]
500,500,0.6,[0.00079648],[0.942],0.10011382010139791,0.0006641744518200741,8.29840093469619,[1.84574952]
500,500,0.4,[0.00100293],[0.997],0.16520786938071214,0.0018184192954076124,8.63369280314447,[2.48873908]
500,500,0.2,[0.01862588],[0.833],0.37266518806451776,0.009813451740949244,9.233852589130398,[4.04775789]
