n,m,Service_shape,"MSE, Service Rate",CovProb,Width,Asymptotic variance,Average CPU Time,theta_opt
500,500,1.0,[0.00018116],[0.99],0.06443439724854003,0.00027565192635743257,8.788004842758191,1.2
500,500,0.8,[0.00074039],[0.842],0.07714280756306434,0.00039598837232202407,8.736653339147557,[1.45235469]
0,0,0.0,0,0,0.0,0.0,0.0,[1.84574952]
0,0,0.0,0,0,0.0,0.0,0.0,[2.48873908]
0,0,0.0,0,0,0.0,0.0,0.0,[4.04775789]
