N,m,Service shape,number of empty set,"CovProb, Eligibility Set","Width, Eligibility Set, Service rate","Width, Eligibility Set, Arrival rate",Average CPU time,theta_opt
1000,1000,1.0,3,0,0.3831953893887466,0.5323992422452577,2.1274249110221883,[2.5 1. ]
1000,1000,0.8,1000,0,0.0,0.0,2.851539085388187,[5.86548716 2.66126376]
1000,1000,0.6,1000,0,0.0,0.0,2.8642029180526745,[7.87392723 3.02316964]
1000,1000,0.4,1000,0,0.0,0.0,2.858685055971139,[10.28224743  2.90738165]
1000,1000,0.2,1000,0,0.0,0.0,2.788257060289381,[0.0166845  0.41594256]
