n,m,Service_shape,"MSE, Service Rate",CovProb,Width,Asymptotic variance,Average CPU Time,theta_opt
500,500,1.0,[0.00039922],[0.92],0.06857347153764613,0.00030855004743028213,3.1412694573402407,1.2
500,500,0.8,[0.00015662],[0.996],0.0741711208038319,0.00036091800581405535,3.1339149944782236,[1.46147713]
500,500,0.6,[0.00025793],[0.999],0.10115032806342579,0.0006727786797178087,3.1617630982399003,[1.83416437]
0,0,0.0,0,0,0.0,0.0,0.0,[2.44959411]
0,0,0.0,0,0,0.0,0.0,0.0,[3.8672445]
