n,m,Service_shape,"MSE, Service Rate",CovProb,Width,Asymptotic variance,Average CPU Time,theta_opt
500,500,0.4,[0.0003309],[1.],0.208692379258064,0.0029298506320542673,8.81026217699051,[2.41474919]
0,0,0.0,0,0,0.0,0.0,0.0,[3.7046146]
0,0,0.0,0,0,0.0,0.0,0.0,0
0,0,0.0,0,0,0.0,0.0,0.0,0
0,0,0.0,0,0,0.0,0.0,0.0,0
