n,m,Service_shape,"MSE, Service Rate",CovProb,Width,Asymptotic variance,Average CPU Time,theta_opt
500,500,1.0,[0.00039922],[0.92],0.06857347153764613,0.00030855004743028213,3.1412694573402407,1.2
0,0,0.0,0,0,0.0,0.0,0.0,[1.46147713]
0,0,0.0,0,0,0.0,0.0,0.0,[1.83416437]
0,0,0.0,0,0,0.0,0.0,0.0,[2.44959411]
0,0,0.0,0,0,0.0,0.0,0.0,[3.8672445]
