n,m,Service_shape,"MSE, Service Rate",CovProb,Width,Asymptotic variance,Average CPU Time,theta_opt
500,500,1.0,[0.00011676],[0.729],0.024883020068908447,4.084356592930779e-05,7.903641705274583,1.2
500,500,0.8,[0.00042411],[0.638],0.04375707831493814,0.00012646431042405174,7.8516036252975505,[1.4586174]
500,500,0.6,[0.00033507],[0.961],0.08146730183298574,0.0004377739291752763,7.834932153463357,[1.83338809]
500,500,0.4,[0.00099477],[1.],0.18776322735831374,0.0023424675585350407,7.841154092311849,[2.44948378]
0,0,0.0,0,0,0.0,0.0,0.0,[3.80120875]
