n,m,Service_shape,"MSE, Service Rate",CovProb,Width,Asymptotic variance,Average CPU Time,theta_opt
500,500,1.0,[0.000302],[0.683],0.04057938363316749,0.00010834267081212277,7.894247160196295,1.2
500,500,0.8,[0.00014746],[0.979],0.057615478270836316,0.00021814843708264843,7.912746660947794,[1.46187293]
500,500,0.6,[0.000234],[0.99],0.08652945752578681,0.0004927413284283493,7.829766137838374,[1.83140643]
500,500,0.4,[0.00136602],[0.999],0.17660741490026438,0.002067174757878402,7.812061912059785,[2.44222453]
0,0,0.0,0,0,0.0,0.0,0.0,[3.80095735]
