n,m,Service_shape,"MSE, Service Rate","MSE, Arrival Rate","CovProb, Expected Score Estimate",Average CPU Time,theta_opt
1000,1000,1.0,0.0693777146606206,0.02960708133984896,0.0,8.17315106868744,[2.5 1. ]
1000,1000,0.8,1.6374248616087013e-05,6.248648269906735e-05,1.0000000000000007,8.414038338661193,[2.93697664 0.91091567]
1000,1000,0.6,0.5026440124475892,0.169611368980204,0.0,8.236510915756224,[4.70113806 1.42268553]
0,0,0.0,0.0,0.0,0.0,0.0,[8.05287851 2.10851893]
0,0,0.0,0.0,0.0,0.0,0.0,[9.27189158 0.80672983]
