N,m,Service shape,"CovProb, Credible Set","Width, Credible Set, Service Rate","Width, Credible Set, Arrival Rate",average cpu time,theta_opt
9000,1000,1.0,0,0.5582109140801241,0.6693826711588958,87.83139340639119,[2.85679929 1.24074522]
9000,1000,0.8,0,0.23862312115279805,0.2483674891586672,87.730586373806,[5.86548716 2.66126376]
9000,1000,0.6,0,0.2623551797646265,0.24308936775947285,87.63903777360919,[7.87392723 3.02316964]
9000,1000,0.4,0,0.3188219971039314,0.24241935803932219,87.70594072818757,[10.28224743  2.90738165]
0,0,0.0,0,0.0,0.0,0.0,[0.0166845  0.41594256]
