n,m,"MSE, phi","MSE, kappa","MSE, sigma",CovProb,Average CPU Time
100,10,0.0016004852921870732,0.0466500574488374,0.004976965617560433,0.5000000000000002,4.165199949741363
100,50,0.0018757979515713358,0.009763649103021514,0.004058600219544266,0.8900000000000006,4.33660931825638
100,100,0.0020475991406241315,0.005096030806174854,0.004131477912771122,0.9600000000000006,4.581121711730958
100,500,0.0,0.0,0.0,0.0,0.0
100,1000,0.0,0.0,0.0,0.0,0.0
