n,m,Service_shape,"MSE, Service Rate","MSE, Arrival Rate","CovProb, Expected Score Estimate",Average CPU Time,theta_opt
10,10,0.8,26.338328605219896,9.162636085634421,0.0,5.690994644165039,[3.06850607 0.98640608]
50,50,0.8,0.259424431738774,0.01721600116365766,0.0,6.453830051422119,[3.06850607 0.98640608]
100,100,0.8,0.024041728987911893,0.02814885205221496,0.0,7.714488005638123,[3.06850607 0.98640608]
500,500,0.8,0.052305603308921846,0.013797803305911802,0.9999999999999999,15.59185926914215,[3.06850607 0.98640608]
1000,1000,0.8,0.0003186419015389693,0.0013578902001352476,0.9999999999999999,25.3247190952301,[3.06850607 0.98640608]
