n,m,"MSE, phi","MSE, kappa","MSE, sigma",CovProb,Average CPU Time
100,10,0.004821754470815392,0.00564909248267328,0.0023551702620386375,0.3000000000000001,4.223628230094912
100,50,0.0,0.0,0.0,0.0,0.0
100,100,0.0,0.0,0.0,0.0,0.0
100,500,0.0,0.0,0.0,0.0,0.0
100,1000,0.0,0.0,0.0,0.0,0.0
