n,m,Service_shape,"MSE, Service Rate","MSE, Arrival Rate","CovProb, Expected Score Estimate",Average CPU Time,theta_opt
2,1000,0.8,10.290561842895151,10.950765604334002,0,25.524597163200383,[3.22393677 1.08359555]
10,1000,0.8,3.632851854678923,2.221054334867079,0,25.34448214530943,[3.22393677 1.08359555]
50,1000,0.8,0.5721312492956451,0.3439761071628617,0,25.182393150329606,[3.22393677 1.08359555]
100,1000,0.8,0.15736083580296106,0.12867030531554144,0,25.109914882183087,[3.22393677 1.08359555]
0,0,0.0,0.0,0.0,0,0.0,0
