n,m,Service_shape,number of epochs,"MSE, Service Rate","MSE, Arrival Rate","CovProb, Expected Score Estimate",Average CPU Time,theta_opt
2,1000,0.8,2500,6.325353442176344,4.891444246472643,0.0,36.51620824337006,[3.23221608 1.06033397]
10,1000,0.8,2000,1.6306973953486545,0.9290517122923991,0.0,33.28548545837402,[3.23221608 1.06033397]
50,1000,0.8,1500,0.11885118288692222,0.07066960571737682,0.0,30.156821060180665,[3.23221608 1.06033397]
100,1000,0.8,1000,0.12370704204416422,0.060621317211095996,0.9999999999999999,26.915544390678406,[3.23221608 1.06033397]
500,1000,0.8,1000,0.01697479378548918,0.009648439296585867,0.9999999999999999,26.84934823513031,[3.23221608 1.06033397]
