n,m,Service_shape,number of epochs,"MSE, Service Rate","MSE, Arrival Rate","CovProb, Expected Score Estimate",Average CPU Time,theta_opt
2,1000,0.8,2500,8.46721166331507,6.87095710359886,0,37.6948953676224,[2.8962129  0.84260992]
0,0,0.0,0,0.0,0.0,0,0.0,0
0,0,0.0,0,0.0,0.0,0,0.0,0
0,0,0.0,0,0.0,0.0,0,0.0,0
0,0,0.0,0,0.0,0.0,0,0.0,0
