n,m,Service_shape,number of epochs,"MSE, Service Rate","MSE, Arrival Rate","CovProb, Expected Score Estimate",Average CPU Time,theta_opt
2,1000,0.8,2500,8.46721166331507,6.87095710359886,0.0,37.6948953676224,[2.8962129  0.84260992]
10,1000,0.8,2000,2.6017393218518285,1.3961722733230564,0.0,33.877468354701996,[2.8962129  0.84260992]
50,1000,0.8,1500,0.4634221609495282,0.23383182917470763,0.0,30.251280546188354,[2.8962129  0.84260992]
100,1000,0.8,1000,0.4729633288858729,0.21523848607545798,1.0000000000000007,26.906021978855133,[2.8962129  0.84260992]
0,0,0.0,0,0.0,0.0,0.0,0.0,0
