n,m,Service_shape,"MSE, Service Rate","MSE, Arrival Rate","CovProb, Expected Score Estimate",Average CPU Time,theta_opt
1000,1000,1.0,0.010483677361118389,0.004027336691108485,1.0000000000000007,9.219748116493239,[3.0508977  1.36729469]
1000,1000,0.8,0.46310925927617413,0.19730279308602328,1.0000000000000007,9.181697457313515,[6.04144521 2.84975041]
1000,1000,0.6,0.019766007498032267,0.010848410713262969,1.0000000000000007,9.085989185333242,[7.93774929 3.08411119]
1000,1000,0.4,0.04631804537762868,0.00836880368490576,0.0,9.110897109508505,[10.26581207  2.89390243]
0,0,0.0,0.0,0.0,0.0,0.0,[0.00772042 1.02951885]
