n,m,Service_shape,"MSE, Service Rate",CovProb,Width,Asymptotic variance,Average CPU Time,theta_opt
50,50,1,[0.00148082],[0.986],0.2057845862636195,0.002840529356488116,2.106330635547637,1.2
100,100,1,[0.00059702],[1.],0.14672863659603055,0.0014308585764527604,2.7594928386211404,1.2
500,500,1,[0.00013615],[0.991],0.06498255289796824,0.0002806525004753426,8.4491555814743,1.2
0,0,0,0,0,0.0,0.0,0.0,1.2
0,0,0,0,0,0.0,0.0,0.0,1.2
