n,m,Service_shape,"MSE, Service Rate","MSE, Arrival Rate","CovProb, Expected Score Estimate",Average CPU Time,theta_opt
1000,1000,1.0,0.4872358638793101,0.5004347557843284,0.0,8.424080889701845,[2.5 1. ]
1000,1000,0.8,0.017292208271882915,0.010495568198857648,1.0000000000000007,8.463112965345376,[3.9726877  1.71343582]
1000,1000,0.6,0.3276373921506381,0.13551754761475035,0.0,8.426106647014615,[6.25386746 2.73954695]
1000,1000,0.4,0.00036843511154299545,0.0014286072597765236,1.0000000000000007,8.409852306604394,[8.42905588 2.5629145 ]
0,0,0.0,0.0,0.0,0.0,0.0,[9.29692252 1.02603315]
