n,m,Service_shape,"MSE, Service Rate","MSE, Arrival Rate","CovProb, Expected Score Estimate",Average CPU Time,theta_opt
1000,1000,1.0,0.01054488787271592,0.007595930617795093,1.0000000000000007,8.343732815742499,[2.5 1. ]
1000,1000,0.8,0.006108032256351776,0.0017489935789567206,1.0000000000000007,8.514230211496354,[3.16009388 1.06821345]
1000,1000,0.6,0.4850644273012852,0.21239448555434942,0.0,8.4326302011013,[5.4768786  1.99741817]
0,0,0.0,0.0,0.0,0.0,0.0,[8.32264827 2.39146582]
0,0,0.0,0.0,0.0,0.0,0.0,[9.32003196 0.98564423]
