n,m,Service_shape,"MSE, Service Rate","MSE, Arrival Rate","CovProb, Expected Score Estimate",Average CPU Time,theta_opt
1000,1000,1.0,0.01831393429146493,0.024005210343223504,0.9999999999999999,8.171609807014466,[2.56663587 1.05593655]
1000,1000,0.8,0.006334667387478147,0.0013632431453469858,0.9999999999999999,8.060624861717224,[2.95637373 0.93046297]
1000,1000,0.6,0.3975396388242492,0.15549453134322247,0.0,7.48969225883484,[5.08460011 1.68166369]
1000,1000,0.4,0.0008670963997800333,0.009597745815100365,0.9999999999999999,7.508001494407653,[8.15332755 2.19400513]
1000,1000,0.2,0.0029897835127469436,0.0022526162576432425,0.9999999999999999,7.736304855346678,[9.36977459 0.9218754 ]
