n,m,Service_shape,"MSE, Service Rate","MSE, Arrival Rate","CovProb, Expected Score Estimate",Average CPU Time,theta_opt
1000,1000,1.0,0.013278368147115381,0.0047169049950543974,1.0000000000000007,9.66239829730988,[2.89982646 1.26787521]
1000,1000,0.8,0.011912570767477789,0.0003123753038424155,1.0000000000000007,8.761656095027925,[5.90440764 2.7715198 ]
1000,1000,0.6,0.004148375858834812,0.001544891849845501,1.0000000000000007,8.669841174602501,[8.13445729 3.21896049]
1000,1000,0.4,0.00022958851246193684,0.0007556266569446124,0.0,8.712728436708458,[8.99462929 2.39117584]
0,0,0.0,0.0,0.0,0.0,0.0,[9.46578161 0.99333908]
