n,m,Service_shape,"MSE, Service Rate","MSE, Arrival Rate","CovProb, Expected Score Estimate",Width,Height,Average CPU Time,theta_opt
1000,2000,1.0,0.00047080473742345944,9.002191648453068e-05,1.0000000000000007,0.03161566200380194,1.5595182751780035,11.356116442680356,[2.5 1. ]
1000,2000,0.8,0.20313868065586851,0.05980713853255341,0.0,0.039353166284231064,2.385990716295784,11.3260781788826,[3.14761731 1.02871567]
0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[4.46343549 1.27666721]
0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[7.91442665 2.09012544]
0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[9.28222664 0.82661757]
